frameId;frame_main;frame_calib;frame_above;swimmerId;swimmerName;eventX;eventY;event;anno_type;custom_event;Temps (s);distance (m)
738;303;738;738;0;A;54.5084;15.6822;track;interp;;12.31;54.5084
739;304;739;739;0;A;54.5084;15.6822;track;interp;;12.33;54.5084
740;305;740;740;0;A;54.3457;15.5743;track;interp;;12.35;54.3457
741;306;741;741;0;A;54.3457;15.5743;track;interp;;12.36;54.3457
742;307;742;742;0;A;54.3457;15.5743;track;interp;;12.38;54.3457
743;308;743;743;0;A;54.3457;15.5743;track;click;;12.4;54.3457
744;309;744;744;0;A;20.9945;3.9776;track;interp;;12.41;20.9945
745;310;745;745;0;A;20.968;3.9825;track;interp;;12.43;20.968
746;311;746;746;0;A;20.9415;3.9875;track;interp;;12.45;20.9415
747;312;747;747;0;A;20.9435;4.0309;track;interp;;12.46;20.9435
748;313;748;748;0;A;20.9169;4.0359;track;interp;;12.48;20.9169
749;314;749;749;0;A;20.9189;4.0794;track;interp;;12.5;20.9189
750;315;750;750;0;A;20.8923;4.0844;track;interp;;12.51;20.8923
751;316;751;751;0;A;20.8657;4.0894;track;interp;;12.53;20.8657
752;317;752;752;0;A;20.8676;4.1331;track;interp;;12.55;20.8676
753;318;753;753;0;A;20.841;4.1381;track;interp;;12.56;20.841
754;319;754;754;0;A;20.8143;4.1431;track;interp;;12.58;20.8143
755;320;755;755;0;A;20.8161;4.187;track;interp;;12.6;20.8161
756;321;756;756;0;A;20.7894;4.192;track;interp;;12.61;20.7894
757;322;757;757;0;A;20.7912;4.2361;track;interp;;12.63;20.7912
758;323;758;758;0;A;20.7645;4.2411;track;interp;;12.65;20.7645
759;324;759;759;0;A;20.7377;4.2461;track;interp;;12.66;20.7377
760;325;760;760;0;A;20.7394;4.2903;track;interp;;12.68;20.7394
761;326;761;761;0;A;20.7126;4.2953;track;interp;;12.7;20.7126
762;327;762;762;0;A;20.7143;4.3398;track;interp;;12.71;20.7143
763;328;763;763;0;A;20.6875;4.3448;track;interp;;12.73;20.6875
764;329;764;764;0;A;20.6606;4.3498;track;interp;;12.75;20.6606
765;330;765;765;0;A;20.6622;4.3944;track;interp;;12.76;20.6622
766;331;766;766;0;A;20.6353;4.3994;track;interp;;12.78;20.6353
767;332;767;767;0;A;20.6085;4.4044;track;interp;;12.8;20.6085
768;333;768;768;0;A;20.6099;4.4492;track;interp;;12.81;20.6099
769;334;769;769;0;A;20.583;4.4542;track;interp;;12.83;20.583
770;335;770;770;0;A;20.5844;4.4991;track;interp;;12.85;20.5844
771;336;771;771;0;A;20.5574;4.5042;track;interp;;12.86;20.5574
772;337;772;772;0;A;20.5305;4.5092;track;interp;;12.88;20.5305
